Tissue,BroadID,Release,PMID,Organism,Platform,PlatformDescription,PlatformAccesionID,DataAccessionID,SigID,SigName,SigDescription,Comment,Keywords,URL,FileAssociated,GenesBroad,GenesArticle,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,,
Leukemia,,R4,16341039,Human,affy_HG-U95Av2,hybridized to Affymetrix HG-U95Av2 GeneChips  which comprise more than 12 600 probe sets for more than 9600 unique genes,,,16341039-TableS11,Bogni06_67genes_Leukemia,Supplementary Table S11: Candidate genes associated with t-ML development among the 267 B- or T-lineage patients. We found 68 probes in common using a cumulative incidence regression model and a Cox regression model (??= 0.01).,Probeset: probe set name. Description: Gene annotations for the human U95A chip  available at http://hcapps2.web.stjude.org/hcnetdat/affy/u95Av2.php Relative expression of the probe set in those who did develop t-ML compared to those who did not. P-value for the chi-square test,,http://www.nature.com.ezp-prod1.hul.harvard.edu/leu/journal/v20/n2/suppinfo/2404059s1.html?url=/leu/journal/v20/n2/full/2404059a.html,16341039-TableS11.txt,,67,Probe ID,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Leukemia,,R4,16341039,Human,affy_HG-U95Av2,hybridized to Affymetrix HG-U95Av2 GeneChips  which comprise more than 12 600 probe sets for more than 9600 unique genes,,,16341039-Table1,Bogni06_68genes_Leukemia,Table 1. Candidate genes associated with t-ML development after ALL treatment among 228 B-lineage patients, We found 68 probes in common using a cumulative incidence regression model and a Cox regression model to define probes significantly associated with time to t-ML development (=0.01). Probeset: probe set name. Description: Gene annotations for the human U95A chip  available at http://hcapps2.web.stjude.org/hcnetdat/affy/u95Av2.php Relative expression of the probe set in those who did develop t-ML compared to those who did not. P-value for the  2 test.,,,16341039-Table1.txt,,68,Probe ID,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Leukemia,,R4,16341039,Human,affy_HG-U95Av2,hybridized to Affymetrix HG-U95Av2 GeneChips  which comprise more than 12 600 probe sets for more than 9600 unique genes,,,16341039-TableS2,Bogni06_82genes_228BLineage _Leukemia,Supplementary Table S2: Candidate genes associated with t-ML development after ALL treatment. Using a Cox regression model among the 228 B-lineage patients  we found 83 probes significantly associated with t-ML development (? = 0.01).,Probeset: probe set name. Description: Gene annotations for the human U95A chip  available at http://hcapps2.web.stjude.org/hcnetdat/affy/u95Av2.php Relative expression of the probe set in those who did develop t-ML compared to those who did not,,http://www.nature.com.ezp-prod1.hul.harvard.edu/leu/journal/v20/n2/suppinfo/2404059s1.html?url=/leu/journal/v20/n2/full/2404059a.html,16341039-TableS2.txt,,82,Probe ID,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Leukemia,,R4,16341039,Human,affy_HG-U95Av2,hybridized to Affymetrix HG-U95Av2 GeneChips  which comprise more than 12 600 probe sets for more than 9600 unique genes,,,16341039-TableS8,Bogni06_82genes_267BorTLineage_Leukemia,Supplementary Table S8: Candidate genes associated with t-ML development after ALL treatment. Using a Cox regression model among the 267 B- or T-lineage patients  we found 84 probes significantly associated with t-ML development (? = 0.01).,Probeset: probe set name. Description: Gene annotations for the human U95A chip  available at http://hcapps2.web.stjude.org/hcnetdat/affy/u95Av2.php Relative expression of the probe set in those who did develop t-ML compared to those who did not. P value for the chi-square test,,http://www.nature.com.ezp-prod1.hul.harvard.edu/leu/journal/v20/n2/suppinfo/2404059s1.html?url=/leu/journal/v20/n2/full/2404059a.html,16341039-TableS8.txt,,82,Probe ID,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Uterine,,R3,16353136,Human,affy_U133A,Human U133A (HG-U133A) Gene-Chip1 arrays,,,16353136-Table2,Wong05_18genes_Uterine,TABLE II ? GENES PREVIOUSLY REPORTED AS MODIFIED IN CERVICAL CANCER AND IDENTIFIED IN THE CURRENT STUDY,,,,16353136-Table2.txt,,18,RefSeq ID,Gene Symbol,Chromosome Map,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,
Uterine,,R3,16353136,Human,affy_U133A,Human U133A (HG-U133A) Gene-Chip1 arrays,,,16353136-Table4,Wong05_28genes_Uterine,Table IV. Differentially Expressed Genes in HPV-16 Infected and Non-HPV-16 HPV Infected Cervical Cancer Identified by U133A Oligonucleotide Arrays,,,,16353136-Table4.txt,,28,RefSeq ID,Gene Symbol,Geneset Specific Factor,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,
Uterine,,R3,16353136,Human,affy_U133A,Human U133A (HG-U133A) Gene-Chip1 arrays,,,16353136-Table3,Wong05_84genes_Uterine,TABLE III ? NOVEL DIFFERENTIALLY EXPRESSED GENES BY >2-FOLD IN ATLEAST TWO-THIRDS OF CERVICAL CANCER CASES IDENTIFIED BY U133A OLIGONUCLEOTIDE ARRAYS,,,,16353136-Table3.txt,,84,RefSeq ID,Gene Symbol,Chromosome Map,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Stem Cell,,R1,16355723,Human,Custom cDNA Array,,,,16355723-table2a,Brendel05_21genes_StemCell,TABLE 2a. GENES THAT WERE FOUND TO BE UPREGULATED AND DOWNREGULATED IN MSC VERSUS SKIN FIBROBLASTS,Upregulated genes,,,16355723-table2a.txt,,21,Geneset Specific Statistics,GenBank ID,Gene Description,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Stem Cell,,R1,16355723,Human,Custom cDNA Array,,,,16355723-table2b,Brendel05_22genes_StemCell,TABLE 2b. GENES THAT WERE FOUND TO BE UPREGULATED AND DOWNREGULATED IN MSC VERSUS SKIN FIBROBLASTS,Downregulated genes,,,16355723-table2b.txt,,22,Geneset Specific Statistics,GenBank ID,Gene Description,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Breast,,R1,16356477,Human,affy_HG-U95Av2,Human Genome U95A v.2 Array (Affymetrix),,,16356477-Table1,Song06_62genes_Breast,Table 1. Identification of 61 transcript species showing significant altered expression upon expression of CST6,,,http://www.sciencedirect.com.ezp-prod1.hul.harvard.edu/science?_ob=ArticleURL&_udi=B6WBK-4HS39N3-4&_user=209690&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000014438&_version=1&_urlVersion=0&_userid=209690&md5=8014ca89a1118ee238719018b56fea9a,16356477-Table1.txt,,62,Probe ID,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Factor,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,
Brain,,R5,16356833,Human,Agilent_Human1_cDNA,(Agilent Human-1A cDNA Microarrays),,,16356833-Table1,Morandi06_98genes_Brain,Table 1. Genes with marked expression change in U87CPT-R relative to U87-MG,,,,16356833-Table1.txt,,98,Gene Description,GenBank ID,Geneset Specific Statistics,Other Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,
Lung,,R4,16357148,Human,affy_U133A,The GeneChip (HG-U133  Affymetrix  Inc.  Santa Clara  CA) arrays were done,,,16357148-Table1b,Noh05_40genes_Lung,Table 1b. A549 cells present different gene expression profiles in response to trichostatin A treatment,NOTE: Oligonucleotide microarray analysis was used to distinguish trichostatin A–dependent genes in both cell types and identify genes significantly overexpressed or underexpressed in A549 cells compared with NHBE cells following trichostatin A treatment.,,,16357148-Table1b.txt,,40,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Lung,,R4,16357148,Human,affy_U133A,The GeneChip (HG-U133  Affymetrix  Inc.  Santa Clara  CA) arrays were done,,,16357148-Table1a,Noh05_43genes_Lung,Table 1a. NHBE cells present different gene expression profiles in response to trichostatin A treatment,NOTE: Oligonucleotide microarray analysis was used to distinguish trichostatin A–dependent genes in both cell types and identify genes significantly overexpressed or underexpressed in A549 cells compared with NHBE cells following trichostatin A treatment.,,,16357148-Table1a.txt,,43,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Prostate,,R4,16357169,Human,affy_U133Plus2,hybridized to U133 Plus 2.0 Arrays (Affymetrix),,,16357169-SuppTable3,Floryk05_17genes_Prostate,SuppTable 3. Common down-regulated genes at 12 h of TB and MPA treatment,,,,16357169-SuppTable3.txt,,17,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Prostate,,R4,16357169,Human,affy_U133Plus2,hybridized to U133 Plus 2.0 Arrays (Affymetrix),,,16357169-Table1,Floryk05_57genes_Prostate,Table 1. Common up-regulated genes expressed after 3-hour treatment with tributyrin and 6-hour treatment with MPA,,,,16357169-Table1.txt,,57,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,
Prostate,,R4,16357169,Human,affy_U133Plus2,hybridized to U133 Plus 2.0 Arrays (Affymetrix),,,16357169-SuppTable4,Floryk05_68genes_Prostate,SuppTable 4. Common down-regulated proliferation genes at 72 h of TB and MPA treatment,,,,16357169-SuppTable4.txt,,68,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Prostate,,R4,16357169,Human,affy_U133Plus2,hybridized to U133 Plus 2.0 Arrays (Affymetrix),,,16357169-SuppTable2,Floryk05_95genes_Prostate,SuppTable 2. Common up-regulated genes expressed at 72 h of TB and MPA treatment,,,,16357169-SuppTable2.txt,,95,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R4,16357179,Human,affy_U133Plus2,Human Genome U133 Plus 2.0 Arrays (Affymetrix  Santa Clara  CA),,,16357179-Table2,Lecane05_131genes_Lymphoma,Table 2. Transcriptional responses of Ramos cells cotreated with MGd and zinc,,,,16357179-Table2.txt,,131,Other Gene Description,EntrezGene ID,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,
Lymphoma,,R4,16357179,Human,affy_U133Plus2,Human Genome U133 Plus 2.0 Arrays (Affymetrix  Santa Clara  CA),,,16357179-Table1,Lecane05_26genes_Lymphoma,Table 1. Genes differentially expressed in response to MGd treatment,,,,16357179-Table1.txt,,26,EntrezGene ID,Gene Symbol,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,
Lung not cancer,,R5,16359678,Mouse,Custom cDNA Array,"we constructed a microarray, representing 3088 contigs and singlets, with cDNA derived from in vitro cultured larvae of Schistosoma mansoni",,,16359678-Table1,Dillon05_23genes_Lung_not_cancer,Table 1. Gene Ontology categories identified as being under regulatory control in the life cycle stages indicated  ascribed by GoMiner,The P value is the probability that the individual category has one or more genes that are up (U) or down (D) regulated. The ‘Members’ column lists the total number of genes represented on the array present in a given category; the ‘Altered’ column lists the actual number showing altered expression. Abbreviations in the Product column are: EM  Energy Metabolism; CR  Chromosome remodelling; CS  Cytoskeletal; PA  Protease Activity.  *Dynamin Microtubule-associated force-producing protein involved in producing microtubule bundles and able to bind and hydrolyze GTP. Most probably involved in vesicular trafficking processes  in particular endocytosis.,,,16359678-Table1.txt,,23,Other Gene Description,Gene Description,Protein ID,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,
Lung not cancer,,R5,16359678,Mouse,Custom cDNA Array,"we constructed a microarray, representing 3088 contigs and singlets, with cDNA derived from in vitro cultured larvae of Schistosoma mansoni",,,16359678-Table2,Dillon05_36genes_Lung_not_cancer,Table 2. Subset of genes up-regulated at days 2 and 7  or day 7 alone  relative to the pooled control (Bioconductor project analyses  lods >3),The expressed sequence tags (ESTs) column represents the fraction of replicates on the array that co-cluster on the heatmap.,,,16359678-Table2.txt,,36,Other Gene Description,Gene Description,Other Gene Description,Geneset Specific Factor,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,
Esophagus,,R5,16364039,Human,affy_U133Plus2,"hybridized on Affymetrics GeneChip Human Genome U133A 2.0 Array (Affymetrics Inc., USA), including 14 500 human genes",,,16364039-Table2,Bergqvist06_05genes_Esophagus,"Table 2.  Genes positively and negatively correlated to telomerase activity as determined by the GeneChip human genome U133A 2.0 Array (Affymetrics Inc., USA). The results are shown only for genes with a correlation value (r-value) > 0.90",,,,16364039-Table2.txt,,5,Geneset Specific Statistics,Gene Description,Chromosome Map,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Prostate,,R1,16365062,Human,affy_U133A,Affymetrix Human Genome U133A GeneChip,,,16365062-table2,Handayani06_57genes_Prostate,"Table 2 Classification of genes in PC-3 cells significantly altered by 48 h of exposure to 200 mg/L ISF compared with cells treated
with DMSO vehicle alone*",Genes in PC-3 cells whose expressions were significantly altered after 48 h exposure to 200 mg/L ISF  compared with DMSO vehicle alone  were classified according to their ontological/biological function. Changes in gene expression were deemed significantly different from controls (P < 0.05) based on multiple criteria  as described in Materials and Methods.,,,16365062-table2.txt,,57,Gene Symbol,UniGene ID,Other Gene Description,Gene Description,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Head and Neck Cancer,,R3,16365179,Human,Custom cDNA Array,Stanford human cDNA microarray containing 41 421 cDNA elements,,,16365179-TableA3,Bredel06_250genes_HeadandNeck,Table A3. 141 resistance associated transcripts  identified by non-parametric t-test (p  0.01) filtering after SAM (q  0.005)  log2 expression values are parentally transformed,,,http://jco.ascopubs.org.ezp-prod1.hul.harvard.edu/content/24/2/274/suppl/DC1,16365179-TableA3.txt,,250,Clone ID,UniGene ID,GenBank ID,Gene Symbol,Gene Description,Chromosome Map,EntrezGene ID,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,
Head and Neck Cancer,,R3,16365179,Human,Custom cDNA Array,Stanford human cDNA microarray containing 41 421 cDNA elements,,,16365179-TableA2,Bredel06_329genes_HeadandNeck,Table A2. Resistance signature of 329 transcripts  identified by SAM (q  0.005)  log2 expression values are parentally transformed,,,http://jco.ascopubs.org.ezp-prod1.hul.harvard.edu/content/24/2/274/suppl/DC1,16365179-TableA2.txt,,329,Clone ID,UniGene ID,GenBank ID,Gene Symbol,Gene Description,Chromosome Map,EntrezGene ID,,,,,,,,,,,,,,,,,,,,,,
Stomach,,R4,16367923,Human,affy_U133Plus2,microarray analysis was carried out using GeneChip Human Genome 133 Plus 2.0 (Affymetrix  Santa Clara  CA  USA) with 54 000 probe sets and 47 400 transcripts from 39 000 genes,,,16367923-Table2,Yamashita06_68genes_Stomach,Table 2. Genes upregulated after 5-aza-dC treatment in the AGS cell line,,,,16367923-Table2.txt,,68,Probe ID,Gene Description,Gene Symbol,Geneset Specific Statistics,Geneset Specific Factor,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,
Stem Cell,,R4,16368891,Human,Custom cDNA Array,13 000-element microarrays were hybridized,,,16368891-TableS2,Cao06_27genes_StemCell,Table S2. Genes which are up-regulated in macrophages but not in DCs during monocyte differentiation,Twenty-eight genes were identified from the microarray experiments which are preferentially up-regulated when monocytes differentiate into macrophages but not DCs. The identities of these genes are identified by accession numbers. Each expression value was an average of three experiments except for those few values specified with ‘*’ which were averaged from two experiments. EST  expressed sequence tag.,,http://bloodjournal.hematologylibrary.org.ezp-prod1.hul.harvard.edu/content/107/7/2777/suppl/DC1,16368891-TableS2.txt,,27,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,
Stem Cell,,R4,16368891,Human,Custom cDNA Array,13 000-element microarrays were hybridized,,,16368891-TableS1,Cao06_38genes_StemCell,Table S1. Genes which are globally up- or down-regulated upon monocyte differentiation into macrophages and DCs,Thirty-eight genes are listed according to their up- or downregulation in both macrophages and DCs compared with monocytes. The identities of these genes are identified by accession numbers. NA  not annotated. Each expression value was an average of three experiments except for those few specified values: ‘* ’ values averaged from two experiments; ‘** ’ value from one experiment. These 38 genes were listed as 2 groups according to the expression values identified in ‘bold numbers’. The first 30 genes are globally upregulated when monocytes differentiated into either macrophages or DCs and the last 8 genes were globally downregulated during differentiation.,,http://bloodjournal.hematologylibrary.org.ezp-prod1.hul.harvard.edu/content/107/7/2777/suppl/DC1,16368891-TableS1.txt,,38,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,
Stem Cell,,R4,16368891,Human,Custom cDNA Array,13 000-element microarrays were hybridized,,,16368891-Table1,Cao06_55genes_StemCell,Table 1. Genes that are preferentially up- or down-regulated in DCs,Fifty-five genes are listed according to their up- or down-regulation in imDCs or mDCs  or both. The identities of these genes are identified by HUGO symbols (in parentheses and italics) and accession numbers. The expression values represent the average of 3 experiments except for those few values labeled with an asterisk  which denotes an average value of 2 experiments. These 55 genes were listed as 4 groups according to expression values in imDCs or mDCs (or both) identified with underlining. CCR indicates CC chemokine receptor; p56Dok2  docking protein; RGS  regulator of G-protein signaling; NA  not annotated; PA28   proteasome activator subunit 1; TARC  thymus and activation-regulated chemokine; ILT  immunoglobulin-like transcript; and I-8U  interferon-induced transmembrane protein 3.,,,16368891-Table1.txt,,55,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,
Stomach,,R2,16371738,Human,Operon/CapitalBio Corporation 21329,Operon (Alameda  CA) human 70-mer oligonucleotide set (version 1.1),,,16371738-Table4,Dicken06_10genes_Stomach,TABLE 4. Lymphovascular Invasion Gene-Expression Profile and Gene Function,Differential gene-expression profile of patients with primary gastric adenocarcinoma. The listed genes are those with the greatest differential expression relative to the pooled sample from 17 individuals. The genes are listed in rank order. Approximately 2000 genes were included on the microarray platform  with 938 genes included in the final analysis. *Overexpression. **Underexpression.,,,16371738-Table4.txt,,10,Geneset Specific Factor,Gene Description,Gene Symbol,Other Gene Description,EntrezGene ID,,,,,,,,,,,,,,,,,,,,,,,,
Brain,,R4,16373696,Human,Affymetrix human genome U133 (HG-U133A and HG-133B),hybridized to the Human 133A and 133B arrays (Affymetrix  Santa Clara  CA  http://www.affymetrix.com) containing >47 000 representative human gene sequences,,,16373696-Table2,Chute06_63genes_Brain,Table 2. Genes most overrepresented and underrepresented within human brain endothelial cells,,,,16373696-Table2.txt,,63,UniGene ID,Geneset Specific Statistics,Geneset Specific Statistics,Gene Symbol,Gene Description,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,16373702,Human,affy_U133A_2,HG-U133A 2.0 Affymetrix (Santa Clara  CA) array comprising ?18 400 transcripts and 22 000 probe sets,,,16373702-Table3,Mahadevan05_11genes_Lymphoma,Table 3. Overexpressed genes common to PTCL-NOS and DLBCL compared with normal peripheral blood T cells  peripheral blood B cells  and lymph node,,,,16373702-Table3.txt,,11,Gene Symbol,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,16373702,Human,affy_U133A_2,HG-U133A 2.0 Affymetrix (Santa Clara  CA) array comprising ?18 400 transcripts and 22 000 probe sets,,,16373702-Table2a,Mahadevan05_20genes_Lymphoma,Table 2a. Highly overexpressed genes in DLBCL compared with normal peripheral blood B cells or lymph node: B-non-Hodgkin?s lymphoma vs normal peripheral blood B cells: top increases,,,,16373702-Table2a.txt,,20,Geneset Specific Statistics,Gene Symbol,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,16373702,Human,affy_U133A_2,HG-U133A 2.0 Affymetrix (Santa Clara  CA) array comprising ?18 400 transcripts and 22 000 probe sets,,,16373702-Table1a,Mahadevan05_21genes_PTCL-NOSvsNormalPeripheralBloodTCells_Lymphoma,Table 1a. Highly overexpressed genes in PTCL-NOS compared with normal peripheral blood T cells or lymph node: PTCL-NOS vs normal peripheral blood T cells: top increases,,,,16373702-Table1a.txt,,21,Geneset Specific Statistics,Gene Symbol,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,16373702,Human,affy_U133A_2,HG-U133A 2.0 Affymetrix (Santa Clara  CA) array comprising ?18 400 transcripts and 22 000 probe sets,,,16373702-Table1b,Mahadevan05_21genes_PTCL-NOSvsNormalLymphNode_Lymphoma,Table 1b. Highly overexpressed genes in PTCL-NOS compared with normal peripheral blood T cells or lymph node: PTCL-NOS vs normal lymph node: top increases,,,,16373702-Table1b.txt,,21,Geneset Specific Statistics,Gene Symbol,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,16373702,Human,affy_U133A_2,HG-U133A 2.0 Affymetrix (Santa Clara  CA) array comprising ?18 400 transcripts and 22 000 probe sets,,,16373702-Table2b,Mahadevan05_21genes_B-non-Hodgkin'sLymphomavsNormalLymphnode_Lymphoma,Table 2b. Highly overexpressed genes in DLBCL compared with normal peripheral blood B cells or lymph node: B-non-Hodgkin?s lymphoma vs normal lymph node: top increases,,,,16373702-Table2b.txt,,21,Geneset Specific Statistics,Gene Symbol,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,
Endometrial,,R1,16380157,Human,affy_U133A,Human Genome U133A GeneChip,,,16380157-Table2b,Ferguson06_11genes_Endometrial,Table 2b: (Higher probe set) Genes differentially expressed in endometrial cancers from African? American and Caucasian women,a Affymetrix probe set identifier. b Genes expressed at a lower level in tumors from African? American women compared to those from Caucasian women. c Genes expressed at a higher level in tumors from African? American women compared to those from Caucasian women.,,,16380157-Table2b.txt,,11,Probe ID,Gene Symbol,UniGene ID,Geneset Specific Statistics,Geneset Specific Statistics,Gene Description,,,,,,,,,,,,,,,,,,,,,,,
Endometrial,,R1,16380157,Human,affy_U133A,Human Genome U133A GeneChip,,,16380157-Table2a,Ferguson06_5genes_Endometrial,Table 2a: (Lower probe set) Genes differentially expressed in endometrial cancers from African? American and Caucasian women,a Affymetrix probe set identifier. b Genes expressed at a lower level in tumors from African? American women compared to those from Caucasian women. c Genes expressed at a higher level in tumors from African? American women compared to those from Caucasian women.,,,16380157-Table2a.txt,,5,Probe ID,Gene Symbol,UniGene ID,Geneset Specific Statistics,Geneset Specific Statistics,Gene Description,,,,,,,,,,,,,,,,,,,,,,,
Liver,,R5,16380451,Mouse,Custom cDNA Array,hybridized to 22K Compugen mouse long-oligonucleotide microarrays (Compugen  San Jose  CA),,,16380451-Table3,Hodge06_101genes_Liver,Table 3. Erythroid Kruppel-like factor (EKLF)-dependent genes in the fetal liver,Gene names are in full description and common abbreviations with a GenBank accession number. The ratio is the normalized mean of the relative expression in EKLF–/– versus EKLF+/+ fetal liver RNA (n = 6). The mean absolute intensities of each gene are given. *Genes verified by real-time RT-PCR. †Genes that do not have expression fold differences that are enough for listing as possible EKLF targets but are included for comparison and discussion,,,16380451-Table3.txt,,101,Gene Description,Gene Symbol,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Other Gene Description,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,
Liver,,R5,16380451,Mouse,Custom cDNA Array,hybridized to 22K Compugen mouse long-oligonucleotide microarrays (Compugen  San Jose  CA),,,16380451-Table4,Hodge06_38genes_Liver,Table 4. Tamoxifen-inducible changes in gene expression,"Gene names are in full description and common abbreviations with a GenBank accession number. The ratio is the normalized mean of the relative expression in control versus tamoxifen-treated samples (n = 4). The mean absolute intensities of each gene are given for both taxoxifen- and control-treated samples (n = 4).
*Genes verified by real-time PCR.",,,16380451-Table4.txt,,38,Gene Description,Gene Symbol,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,
Brain,,R5,16381821,Human,Custom cDNA Array,"hybridized onto in-house-manufactured slides containing 23,232 spots with 7,541 different identified cDNAs",,,16381821-SuppTable2,Staveren06_140genes_Brain,"Table 2. Up-regulated genes in human primary thyroid cell cultures treated with 0.3 milliunits/ml TSH for different times [1.5 h (n = 2), 3 h (n = 3), 16 h (n = 4), 24 h (n = 2), and 48 h (n = 2)] and their corresponding values in autonomous adenomas (AA)",,,http://www.pnas.org/content/103/2/413/suppl/DC1,16381821-SuppTable2.txt,,140,UniGene ID,Clone ID,Gene Description,Gene Symbol,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,
Brain,,R5,16381821,Human,Custom cDNA Array,"hybridized onto in-house-manufactured slides containing 23,232 spots with 7,541 different identified cDNAs",,,16381821-SuppTable3,Staveren06_82genes_Brain,"Table 3. Down-regulated genes in human primary thyroid cell cultures treated with 0.3 milliunits/ml TSH for different times [1.5 h (n = 2), 3 h (n = 3), 16 h (n = 4), 24 h (n = 2), and 48 h (n = 2)] and their corresponding values in autonomous adenomas (AA)",,,http://www.pnas.org/content/103/2/413/suppl/DC1,16381821-SuppTable3.txt,,82,UniGene ID,Clone ID,Gene Description,Gene Symbol,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,
Brain,,R5,16381821,Human,Custom cDNA Array,"hybridized onto in-house-manufactured slides containing 23,232 spots with 7,541 different identified cDNAs",,,16381821-SuppTable4,Staveren06_316genes_Brain,"Table 4. Differentially expressed genes and clones in human primary thyroid cell cultures treated with 0.3 milliunits/ml TSH for different times [1.5 h (n = 2), 3 h (n = 3), 16 h (n = 4), 24 h (n = 2), and 48 h (n = 2)] and their corresponding values in autonomous adenomas (AA)",,,http://www.pnas.org/content/103/2/413/suppl/DC1,16381821-SuppTable4.txt,,316,Gene Symbol,UniGene ID,Clone ID,Gene Description,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,
Mycobacterium,,R5,16384534,Human,Custom cDNA Array,17K cDNA microarrays,,,16384534-Figure5a,Arico05_25genes_Mycobacterium,"Figure 5a Supervised hierarchical clustering of genes upregulated by HIV Virus-like particles (VLPs) in monocyte-derived dendritic cells (MDDCs). 3,119 genes included in this analysis were filtered upon the criteria of showing less than 20% missing data and a minimum of 3-fold modulation in expression. The expanded section shows nodes including genes upregulated by HIV-VLPs. 3,119 genes included in this analysis were filtered upon the criteria of showing less than 20% missing data and a minimum of 3-fold modulation in expression. The expanded section shows nodes including genes upregulated by HIV-VLPs. Individual genes are indicated on the right.",,,,16384534-Figure5a.txt,,25,Gene Symbol,Gene Description,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,
